api_number,depth_top,depth_bot,thickness,porosity
42-089-31852,819.912,1277.112,457.2,0.15
42-089-31857,853.44,853.44,0,0.15
42-089-31859,549.8592,1149.096,599.2368,0.15
42-089-31864,944.88,1402.08,457.2,0.15
42-089-31868,861.3648,867.7656,6.4008,0.15
42-089-31875,862.584,862.584,0,0.15
42-089-31887,853.44,853.44,0,0.15
42-089-31907,859.536,859.536,0,0.15
42-089-32149,1149.096,1459.992,310.896,0.15
42-089-32161,941.832,1404.2136,462.3816,0.15
42-089-32189,844.296,1350.264,505.968,0.15
42-089-32216,981.7608,1383.792,402.0312,0.15
42-089-32221,937.5648,1335.9384,398.3736,0.15
42-089-32222,954.9384,1346.9112,391.9728,0.15
42-089-32244,957.072,1363.0656,405.9936,0.15
42-089-32246,853.44,1161.288,307.848,0.15
42-089-32251,929.64,1328.0136,398.3736,0.15
42-089-32254,925.068,1368.552,443.484,0.15
42-089-32261,947.928,1271.016,323.088,0.15
42-089-32299,846.4296,1269.1872,422.7576,0.15
42-089-32304,925.9824,1432.56,506.5776,0.15
42-089-32307,884.2248,1405.128,520.9032,0.15
42-089-32385,798.576,1330.452,531.876,0.15
42-089-32394,950.976,1277.112,326.136,0.15
42-089-32469,579.12,615.696,36.576,0.15
42-089-32518,957.072,1404.2136,447.1416,0.15
42-089-32548,950.976,1330.1472,379.1712,0.15
42-089-32584,883.92,1414.272,530.352,0.15
42-089-32600,805.8912,1310.64,504.7488,0.15
42-089-32611,957.072,1341.4248,384.3528,0.15
42-089-32623,365.76,1231.392,865.632,0.15
42-089-32651,673.608,1030.224,356.616,0.15
42-089-32706,548.64,1036.32,487.68,0.15
42-089-32709,1143,1441.704,298.704,0.15
42-089-32712,466.344,960.12,493.776,0.15
42-089-32733,853.44,1066.8,213.36,0.15
42-089-32736,829.056,1231.392,402.336,0.15
42-089-32745,1078.992,1253.3376,174.3456,0.15
42-089-32749,979.932,1066.8,86.868,0.15
42-089-32753,1237.488,1164.336,-73.152,0.15
42-089-32758,821.436,993.648,172.212,0.15
42-089-32760,821.436,993.648,172.212,0.15
42-123-00641,640.08,883.92,243.84,0.15
42-123-20058,716.28,975.36,259.08,0.15
42-123-30123,1232.916,740.664,-492.252,0.15
42-123-30242,853.44,1091.184,237.744,0.15
42-123-30840,886.968,1042.416,155.448,0.15
42-123-31084,609.6,914.4,304.8,0.15
42-123-31103,804.672,999.744,195.072,0.15
42-123-31290,762,1103.376,341.376,0.15
42-123-31329,722.376,1109.472,387.096,0.15
42-123-31334,651.6624,1045.464,393.8016,0.15
42-123-31377,868.68,1051.56,182.88,0.15
42-123-31408,551.688,1055.5224,503.8344,0.15
42-123-31461,731.52,944.88,213.36,0.15
42-123-31469,457.2,1042.416,585.216,0.15
42-123-31471,609.6,1005.84,396.24,0.15
42-123-31506,548.64,883.92,335.28,0.15
42-123-31573,701.04,1005.84,304.8,0.15
42-123-31625,609.6,914.4,304.8,0.15
42-123-31663,640.08,1036.32,396.24,0.15
42-123-31741,914.4,1097.28,182.88,0.15
42-123-31959,606.552,899.16,292.608,0.15
42-123-31964,448.3608,980.5416,532.1808,0.15
42-123-31998,518.16,838.2,320.04,0.15
42-123-32000,478.536,1008.888,530.352,0.15
42-123-32005,484.632,1008.888,524.256,0.15
42-123-32007,243.84,822.96,579.12,0.15
42-123-32012,1036.32,1036.32,0,0.15
42-123-32072,880.872,1185.3672,304.4952,0.15
42-123-32096,822.96,1005.84,182.88,0.15
42-123-32105,871.728,1066.1904,194.4624,0.15
42-123-32153,859.536,1036.32,176.784,0.15
42-123-32189,896.112,1048.512,152.4,0.15
42-123-32203,832.104,1027.176,195.072,0.15
42-123-32471,813.816,1005.84,192.024,0.15
42-123-32494,749.808,1048.512,298.704,0.15
42-123-32627,121.92,365.76,243.84,0.15
42-123-32793,749.808,1048.512,298.704,0.15
42-123-32879,1679.448,1200.912,-478.536,0.15
42-123-32880,749.808,1048.512,298.704,0.15
42-123-32881,749.808,1048.512,298.704,0.15
42-123-32883,749.808,1048.512,298.704,0.15
42-123-32884,749.808,1048.512,298.704,0.15
42-123-32885,749.808,1048.512,298.704,0.15
42-123-32912,743.1024,1024.4328,281.3304,0.15
42-123-32927,228.6,608.9904,380.3904,0.15
42-123-32932,228.6,593.7504,365.1504,0.15
42-123-32946,228.6,594.0552,365.4552,0.15
42-123-32956,749.808,399.288,-350.52,0.15
42-123-32958,749.808,1048.512,298.704,0.15
42-123-32982,198.12,399.288,201.168,0.15
42-123-32983,198.12,402.336,204.216,0.15
42-123-33020,198.12,402.336,204.216,0.15
42-123-33023,749.808,1048.512,298.704,0.15
42-123-33034,198.12,402.336,204.216,0.15
42-123-33037,749.808,1048.512,298.704,0.15
42-123-33038,198.12,402.336,204.216,0.15
42-123-33105,749.808,1048.512,298.704,0.15
42-123-33156,448.056,716.28,268.224,0.15
42-123-33190,821.7408,1048.512,226.7712,0.15
42-123-33193,183.4896,411.1752,227.6856,0.15
42-123-33194,172.8216,404.7744,231.9528,0.15
42-123-33195,176.784,407.8224,231.0384,0.15
42-123-33208,152.4,396.24,243.84,0.15
42-123-33209,152.4,396.24,243.84,0.15
42-123-33210,152.4,396.24,243.84,0.15
42-123-33211,152.4,396.24,243.84,0.15
42-123-33219,274.32,685.8,411.48,0.15
42-123-33220,274.32,685.4952,411.1752,0.15
42-123-33221,274.32,684.8856,410.5656,0.15
42-123-33222,274.32,685.8,411.48,0.15
42-123-33223,152.4,396.24,243.84,0.15
42-123-33244,152.4,396.24,243.84,0.15
42-123-33245,274.0152,654.4056,380.3904,0.15
42-123-33246,274.32,655.0152,380.6952,0.15
42-123-33247,274.32,655.32,381,0.15
42-123-33254,152.4,365.76,213.36,0.15
42-123-33255,152.4,365.76,213.36,0.15
42-123-33256,152.4,396.24,243.84,0.15
42-123-33257,152.4,396.24,243.84,0.15
42-123-33258,152.4,396.24,243.84,0.15
42-123-33262,762,1066.8,304.8,0.15
42-123-33263,762,1066.8,304.8,0.15
42-123-33264,762,457.2,-304.8,0.15
42-123-33270,520.5984,582.168,61.5696,0.15
42-123-33271,520.5984,582.168,61.5696,0.15
42-123-33275,220.3704,367.5888,147.2184,0.15
42-123-33276,202.3872,359.664,157.2768,0.15
42-123-33279,178.308,332.8416,154.5336,0.15
42-123-33280,179.832,330.4032,150.5712,0.15
42-123-33281,179.5272,339.852,160.3248,0.15
42-123-33311,152.4,396.24,243.84,0.15
42-123-33313,174.9552,337.1088,162.1536,0.15
42-123-33321,152.4,396.24,243.84,0.15
42-123-33322,152.4,396.24,243.84,0.15
42-123-33323,152.4,396.24,243.84,0.15
42-123-33324,152.4,396.24,243.84,0.15
42-123-33329,152.4,396.24,243.84,0.15
42-123-33333,209.3976,379.7808,170.3832,0.15
42-123-33337,152.4,396.24,243.84,0.15
42-123-33338,152.4,396.24,243.84,0.15
42-123-33339,152.4,396.24,243.84,0.15
42-123-33340,152.4,396.24,243.84,0.15
42-123-33341,152.4,396.24,243.84,0.15
42-123-33342,152.4,396.24,243.84,0.15
42-123-33343,152.4,396.24,243.84,0.15
42-123-33344,152.4,396.24,243.84,0.15
42-123-33345,152.4,396.24,243.84,0.15
42-123-33349,213.36,417.576,204.216,0.15
42-123-33351,213.36,417.576,204.216,0.15
42-123-33352,213.36,417.576,204.216,0.15
42-123-33353,213.36,417.576,204.216,0.15
42-123-33354,213.36,417.576,204.216,0.15
42-123-33355,213.36,417.576,204.216,0.15
42-123-33357,180.7464,320.9544,140.208,0.15
42-123-33358,184.0992,326.4408,142.3416,0.15
42-123-33359,182.5752,326.7456,144.1704,0.15
42-123-33387,191.1096,328.5744,137.4648,0.15
42-123-33388,155.7528,327.9648,172.212,0.15
42-123-33389,156.6672,327.66,170.9928,0.15
42-123-33390,149.352,321.2592,171.9072,0.15
42-123-33391,181.9656,352.3488,170.3832,0.15
42-123-33398,311.8104,576.6816,264.8712,0.15
