api_number,depth_top,depth_bot,thickness,porosity,coord_latitude,coord_longitude
42-071-31666,2074.164,2697.48,623.316,0.15,29.8188301,-94.6391116
42-071-31687,2468.88,3596.64,1127.76,0.15,29.6067962,-94.7843258
42-071-31729,2247.2904,2771.5464,524.256,0.15,29.7655502,-94.6894767
42-071-31768,1953.1584,2608.4784,655.32,0.15,29.8586526,-94.9552478
42-071-31839,1990.344,2566.416,576.072,0.15,29.8309746,-94.684428
42-071-31844,2471.0136,3560.064,1089.0504,0.15,29.6933423,-94.5194947
42-071-31856,2532.888,3402.7872,869.8992,0.15,29.7773827,-94.4221963
42-071-31874,2399.9952,3126.6384,726.6432,0.15,29.672358,-94.680743
42-071-31882,1040.2824,1851.66,811.3776,0.15,29.8372647,-94.8864267
42-071-31905,2499.36,3901.44,1402.08,0.15,29.7344752,-94.4511105
42-071-31907,1886.712,2743.2,856.488,0.15,29.8779462,-94.9186997
42-071-31929,2430.78,3205.8864,775.1064,0.15,29.7729683,-94.4419201
42-071-31944,1905,2542.032,637.032,0.15,29.7761037,-94.9081772
42-071-32007,1840.992,3758.184,1917.192,0.15,29.7392231,-94.4672205
42-071-32063,2368.296,3142.488,774.192,0.15,29.6216512,-94.8202038
42-071-32067,2438.4,3255.264,816.864,0.15,29.6150816,-94.7867088
42-071-32082,2471.928,3407.664,935.736,0.15,29.6937869,-94.5902729
42-071-32132,2499.36,3482.34,982.98,0.15,29.6934208,-94.5903162
42-071-32137,2377.44,3215.64,838.2,0.15,29.6191269,-94.8232628
42-071-32158,2438.4,3535.68,1097.28,0.15,29.5636054,-94.9291766
42-071-32186,2354.58,3017.52,662.94,0.15,29.7302135,-94.6404404
42-071-32187,2380.488,3078.48,697.992,0.15,29.7201214,-94.6396369
42-071-32189,2386.584,3108.96,722.376,0.15,29.7199303,-94.6367029
42-071-32223,2310.384,3596.64,1286.256,0.15,29.6660625,-94.8468384
